# lat	lon	geoid_height_m
48.853999999999999	17.218000000000000	-32768.0000000
48.853999999999999	17.244000000000000	-32768.0000000
48.853999999999999	17.270000000000003	-32768.0000000
48.853999999999999	17.296000000000003	-32768.0000000
48.853999999999999	17.322000000000003	-32768.0000000
48.853999999999999	17.348000000000003	-32768.0000000
48.853999999999999	17.374000000000002	-32768.0000000
48.853999999999999	17.400000000000002	-32768.0000000
48.853999999999999	17.426000000000002	-32768.0000000
48.853999999999999	17.452000000000002	-32768.0000000
48.853999999999999	17.478000000000002	-32768.0000000
48.853999999999999	17.504000000000001	-32768.0000000
48.853999999999999	17.530000000000001	-32768.0000000
48.853999999999999	17.556000000000001	-32768.0000000
48.853999999999999	17.582000000000001	-32768.0000000
48.853999999999999	17.608000000000001	-32768.0000000
48.853999999999999	17.634000000000000	-32768.0000000
48.853999999999999	17.660000000000000	-32768.0000000
48.853999999999999	17.686000000000000	-32768.0000000
48.853999999999999	17.712000000000000	-32768.0000000
48.853999999999999	17.738000000000000	-32768.0000000
48.853999999999999	17.764000000000003	-32768.0000000
48.853999999999999	17.790000000000003	-32768.0000000
48.853999999999999	17.816000000000003	-32768.0000000
48.853999999999999	17.842000000000002	-32768.0000000
48.853999999999999	17.868000000000002	-32768.0000000
48.853999999999999	17.894000000000002	-32768.0000000
48.853999999999999	17.920000000000002	-32768.0000000
48.853999999999999	17.946000000000002	-32768.0000000
48.853999999999999	17.972000000000001	-32768.0000000
48.853999999999999	17.998000000000001	-32768.0000000
48.853999999999999	18.024000000000001	-32768.0000000
48.853999999999999	18.050000000000001	-32768.0000000
48.853999999999999	18.076000000000001	-32768.0000000
48.853999999999999	18.102000000000000	-32768.0000000
48.853999999999999	18.128000000000000	-32768.0000000
48.853999999999999	18.154000000000000	-32768.0000000
48.853999999999999	18.180000000000000	-32768.0000000
48.853999999999999	18.206000000000003	-32768.0000000
48.853999999999999	18.232000000000003	-32768.0000000
48.853999999999999	18.258000000000003	-32768.0000000
48.853999999999999	18.284000000000002	-32768.0000000
48.853999999999999	18.310000000000002	-32768.0000000
48.853999999999999	18.336000000000002	-32768.0000000
48.853999999999999	18.362000000000002	-32768.0000000
48.853999999999999	18.388000000000002	-32768.0000000
48.853999999999999	18.414000000000001	-32768.0000000
48.853999999999999	18.440000000000001	-32768.0000000
48.853999999999999	18.466000000000001	-32768.0000000
48.853999999999999	18.492000000000001	-32768.0000000
48.853999999999999	18.518000000000001	-32768.0000000
48.853999999999999	18.544000000000000	-32768.0000000
48.853999999999999	18.570000000000000	-32768.0000000
48.853999999999999	18.596000000000000	-32768.0000000
48.853999999999999	18.622000000000000	-32768.0000000
48.853999999999999	18.648000000000003	-32768.0000000
48.853999999999999	18.673999999999999	-32768.0000000
48.853999999999999	18.700000000000003	-32768.0000000
48.853999999999999	18.726000000000003	-32768.0000000
48.853999999999999	18.752000000000002	-32768.0000000
48.853999999999999	18.778000000000002	-32768.0000000
48.853999999999999	18.804000000000002	-32768.0000000
48.853999999999999	18.830000000000002	-32768.0000000
48.853999999999999	18.856000000000002	-32768.0000000
48.853999999999999	18.882000000000001	-32768.0000000
48.853999999999999	18.908000000000001	-32768.0000000
48.853999999999999	18.934000000000001	-32768.0000000
48.853999999999999	18.960000000000001	-32768.0000000
48.853999999999999	18.986000000000001	-32768.0000000
48.853999999999999	19.012000000000000	-32768.0000000
48.853999999999999	19.038000000000000	-32768.0000000
48.853999999999999	19.064000000000000	-32768.0000000
48.853999999999999	19.090000000000000	-32768.0000000
48.853999999999999	19.116000000000000	-32768.0000000
48.853999999999999	19.142000000000003	-32768.0000000
48.853999999999999	19.168000000000003	-32768.0000000
48.853999999999999	19.194000000000003	-32768.0000000
48.853999999999999	19.220000000000002	-32768.0000000
48.853999999999999	19.246000000000002	-32768.0000000
48.853999999999999	19.272000000000002	-32768.0000000
48.853999999999999	19.298000000000002	-32768.0000000
48.853999999999999	19.324000000000002	-32768.0000000
48.853999999999999	19.350000000000001	-32768.0000000
48.853999999999999	19.376000000000001	-32768.0000000
48.853999999999999	19.402000000000001	-32768.0000000
48.853999999999999	19.428000000000001	-32768.0000000
48.853999999999999	19.454000000000001	-32768.0000000
48.853999999999999	19.480000000000000	-32768.0000000
48.853999999999999	19.506000000000000	-32768.0000000
48.853999999999999	19.532000000000000	-32768.0000000
48.853999999999999	19.558000000000000	-32768.0000000
48.853999999999999	19.584000000000003	-32768.0000000
48.853999999999999	19.609999999999999	-32768.0000000
48.853999999999999	19.636000000000003	-32768.0000000
48.853999999999999	19.662000000000003	-32768.0000000
48.853999999999999	19.688000000000002	-32768.0000000
48.853999999999999	19.714000000000002	-32768.0000000
48.853999999999999	19.740000000000002	-32768.0000000
48.853999999999999	19.766000000000002	-32768.0000000
48.853999999999999	19.792000000000002	-32768.0000000
48.853999999999999	19.818000000000001	-32768.0000000
48.853999999999999	19.844000000000001	-32768.0000000
48.853999999999999	19.870000000000001	-32768.0000000
48.853999999999999	19.896000000000001	-32768.0000000
48.853999999999999	19.922000000000001	-32768.0000000
48.853999999999999	19.948000000000000	-32768.0000000
48.853999999999999	19.974000000000000	-32768.0000000
48.853999999999999	20.000000000000000	-32768.0000000
48.853999999999999	20.026000000000000	-32768.0000000
48.853999999999999	20.052000000000000	-32768.0000000
48.853999999999999	20.078000000000003	-32768.0000000
48.853999999999999	20.103999999999999	-32768.0000000
48.853999999999999	20.130000000000003	-32768.0000000
48.853999999999999	20.156000000000002	-32768.0000000
48.853999999999999	20.182000000000002	-32768.0000000
48.853999999999999	20.208000000000002	-32768.0000000
48.853999999999999	20.234000000000002	-32768.0000000
48.853999999999999	20.260000000000002	-32768.0000000
48.853999999999999	20.286000000000001	-32768.0000000
48.853999999999999	20.312000000000001	-32768.0000000
48.853999999999999	20.338000000000001	-32768.0000000
48.853999999999999	20.364000000000001	-32768.0000000
48.853999999999999	20.390000000000001	-32768.0000000
48.853999999999999	20.416000000000000	-32768.0000000
48.853999999999999	20.442000000000000	-32768.0000000
48.853999999999999	20.468000000000000	-32768.0000000
48.853999999999999	20.494000000000000	-32768.0000000
48.853999999999999	20.520000000000003	-32768.0000000
48.853999999999999	20.545999999999999	-32768.0000000
48.853999999999999	20.572000000000003	-32768.0000000
48.853999999999999	20.598000000000003	-32768.0000000
48.853999999999999	20.624000000000002	-32768.0000000
48.853999999999999	20.650000000000002	-32768.0000000
48.853999999999999	20.676000000000002	-32768.0000000
48.853999999999999	20.702000000000002	-32768.0000000
48.853999999999999	20.728000000000002	-32768.0000000
48.853999999999999	20.754000000000001	-32768.0000000
48.853999999999999	20.780000000000001	-32768.0000000
48.853999999999999	20.806000000000001	-32768.0000000
48.853999999999999	20.832000000000001	-32768.0000000
48.853999999999999	20.858000000000001	-32768.0000000
48.853999999999999	20.884000000000000	-32768.0000000
48.853999999999999	20.910000000000000	-32768.0000000
48.853999999999999	20.936000000000000	-32768.0000000
48.853999999999999	20.962000000000003	-32768.0000000
48.853999999999999	20.988000000000000	-32768.0000000
48.853999999999999	21.014000000000003	-32768.0000000
48.853999999999999	21.039999999999999	-32768.0000000
48.853999999999999	21.066000000000003	-32768.0000000
48.853999999999999	21.092000000000002	-32768.0000000
48.853999999999999	21.118000000000002	-32768.0000000
48.853999999999999	21.144000000000002	-32768.0000000
48.853999999999999	21.170000000000002	-32768.0000000
48.853999999999999	21.196000000000002	-32768.0000000
48.853999999999999	21.222000000000001	-32768.0000000
48.853999999999999	21.248000000000001	-32768.0000000
48.853999999999999	21.274000000000001	-32768.0000000
48.853999999999999	21.300000000000001	-32768.0000000
48.853999999999999	21.326000000000001	-32768.0000000
48.853999999999999	21.352000000000000	-32768.0000000
48.853999999999999	21.378000000000000	-32768.0000000
48.853999999999999	21.404000000000000	-32768.0000000
48.853999999999999	21.430000000000000	-32768.0000000
48.853999999999999	21.456000000000003	-32768.0000000
48.853999999999999	21.481999999999999	-32768.0000000
48.853999999999999	21.508000000000003	-32768.0000000
48.853999999999999	21.534000000000002	-32768.0000000
48.853999999999999	21.560000000000002	-32768.0000000
48.853999999999999	21.586000000000002	-32768.0000000
48.853999999999999	21.612000000000002	-32768.0000000
48.853999999999999	21.638000000000002	-32768.0000000
48.853999999999999	21.664000000000001	-32768.0000000
48.853999999999999	21.690000000000001	-32768.0000000
48.853999999999999	21.716000000000001	-32768.0000000
48.853999999999999	21.742000000000001	-32768.0000000
48.853999999999999	21.768000000000001	-32768.0000000
48.853999999999999	21.794000000000000	-32768.0000000
48.853999999999999	21.820000000000000	-32768.0000000
48.853999999999999	21.846000000000000	-32768.0000000
48.853999999999999	21.872000000000000	-32768.0000000
48.853999999999999	21.898000000000003	-32768.0000000
48.853999999999999	21.923999999999999	-32768.0000000
48.853999999999999	21.950000000000003	-32768.0000000
48.853999999999999	21.975999999999999	-32768.0000000
48.853999999999999	22.002000000000002	-32768.0000000
48.853999999999999	22.028000000000002	-32768.0000000
48.853999999999999	22.054000000000002	-32768.0000000
48.853999999999999	22.080000000000002	-32768.0000000
48.853999999999999	22.106000000000002	-32768.0000000
48.853999999999999	22.132000000000001	-32768.0000000
48.853999999999999	22.158000000000001	-32768.0000000
48.853999999999999	22.184000000000001	-32768.0000000
48.853999999999999	22.210000000000001	-32768.0000000
48.853999999999999	22.236000000000001	-32768.0000000
48.853999999999999	22.262000000000000	-32768.0000000
48.853999999999999	22.288000000000000	-32768.0000000
48.853999999999999	22.314000000000000	-32768.0000000
48.853999999999999	22.340000000000000	-32768.0000000
48.853999999999999	22.366000000000000	-32768.0000000
48.853999999999999	22.392000000000003	-32768.0000000
48.853999999999999	22.417999999999999	-32768.0000000
48.853999999999999	22.444000000000003	-32768.0000000
48.853999999999999	22.470000000000002	-32768.0000000
48.853999999999999	22.496000000000002	-32768.0000000
48.853999999999999	22.522000000000002	-32768.0000000
48.853999999999999	22.548000000000002	-32768.0000000
48.853999999999999	22.574000000000002	-32768.0000000
48.853999999999999	22.600000000000001	-32768.0000000
48.853999999999999	22.626000000000001	-32768.0000000
48.853999999999999	22.652000000000001	-32768.0000000
48.853999999999999	22.678000000000001	-32768.0000000
48.853999999999999	22.704000000000001	-32768.0000000
48.853999999999999	22.730000000000000	-32768.0000000
48.853999999999999	22.756000000000000	-32768.0000000
48.853999999999999	22.782000000000000	-32768.0000000
48.853999999999999	22.808000000000000	-32768.0000000
48.853999999999999	22.834000000000003	-32768.0000000
48.853999999999999	22.859999999999999	-32768.0000000
48.853999999999999	22.886000000000003	-32768.0000000
48.853999999999999	22.911999999999999	-32768.0000000
48.853999999999999	22.938000000000002	-32768.0000000
48.853999999999999	22.964000000000002	-32768.0000000
48.853999999999999	22.990000000000002	-32768.0000000
48.853999999999999	23.016000000000002	-32768.0000000
48.853999999999999	23.042000000000002	-32768.0000000
48.835999999999999	16.100000000000001	-32768.0000000
48.835999999999999	16.126000000000001	-32768.0000000
48.835999999999999	16.152000000000001	-32768.0000000
48.835999999999999	16.178000000000001	-32768.0000000
48.835999999999999	16.204000000000001	-32768.0000000
48.835999999999999	16.230000000000000	-32768.0000000
48.835999999999999	16.256000000000000	-32768.0000000
48.835999999999999	16.282000000000000	-32768.0000000
48.835999999999999	16.308000000000000	-32768.0000000
48.835999999999999	16.334000000000003	-32768.0000000
48.835999999999999	16.360000000000003	-32768.0000000
48.835999999999999	16.386000000000003	-32768.0000000
48.835999999999999	16.412000000000003	-32768.0000000
48.835999999999999	16.438000000000002	-32768.0000000
48.835999999999999	16.464000000000002	-32768.0000000
48.835999999999999	16.490000000000002	-32768.0000000
48.835999999999999	16.516000000000002	-32768.0000000
48.835999999999999	16.542000000000002	-32768.0000000
48.835999999999999	16.568000000000001	-32768.0000000
48.835999999999999	16.594000000000001	-32768.0000000
48.835999999999999	16.620000000000001	-32768.0000000
48.835999999999999	16.646000000000001	-32768.0000000
48.835999999999999	16.672000000000001	-32768.0000000
48.835999999999999	16.698000000000000	-32768.0000000
48.835999999999999	16.724000000000000	-32768.0000000
48.835999999999999	16.750000000000000	-32768.0000000
48.835999999999999	16.776000000000000	-32768.0000000
48.835999999999999	16.802000000000000	-32768.0000000
48.835999999999999	16.828000000000003	-32768.0000000
48.835999999999999	16.854000000000003	-32768.0000000
48.835999999999999	16.880000000000003	-32768.0000000
48.835999999999999	16.906000000000002	-32768.0000000
48.835999999999999	16.932000000000002	-32768.0000000
48.835999999999999	16.958000000000002	-32768.0000000
48.835999999999999	16.984000000000002	-32768.0000000
48.835999999999999	17.010000000000002	-32768.0000000
48.835999999999999	17.036000000000001	-32768.0000000
48.835999999999999	17.062000000000001	-32768.0000000
48.835999999999999	17.088000000000001	-32768.0000000
48.835999999999999	17.114000000000001	-32768.0000000
48.835999999999999	17.140000000000001	-32768.0000000
48.835999999999999	17.166000000000000	-32768.0000000
48.835999999999999	17.192000000000000	-32768.0000000
48.835999999999999	17.218000000000000	-32768.0000000
48.835999999999999	17.244000000000000	-32768.0000000
48.835999999999999	17.270000000000003	-32768.0000000
